ethnic_group,Sex,Admission_Method,age,Der_Financial_Year,spells,los,patients
A,1,Elective,0-17,2024/25,180686,86026,114155
A,1,NonElective,0-17,2024/25,260962,371131,189309
A,1,Other,0-17,2024/25,150384,422226,145275
B,1,Elective,0-17,2024/25,1105,837,575
B,1,NonElective,0-17,2024/25,1293,2503,873
B,1,Other,0-17,2024/25,968,3198,929
C,1,Elective,0-17,2024/25,21377,13098,13356
C,1,NonElective,0-17,2024/25,32239,45151,24418
C,1,Other,0-17,2024/25,28813,74704,27874
D,1,Elective,0-17,2024/25,3328,1341,2096
D,1,NonElective,0-17,2024/25,4763,6909,3571
D,1,Other,0-17,2024/25,3813,9741,3693
E,1,Elective,0-17,2024/25,1870,1134,1199
E,1,NonElective,0-17,2024/25,2996,5076,2237
E,1,Other,0-17,2024/25,2614,9000,2544
F,1,Elective,0-17,2024/25,3713,1628,1982
F,1,NonElective,0-17,2024/25,4946,6892,3553
F,1,Other,0-17,2024/25,4737,12751,4547
G,1,Elective,0-17,2024/25,6430,4038,4062
G,1,NonElective,0-17,2024/25,9401,14566,7083
G,1,Other,0-17,2024/25,8958,26531,8606
H,1,Elective,0-17,2024/25,8772,4706,5177
H,1,NonElective,0-17,2024/25,15170,23696,11402
H,1,Other,0-17,2024/25,16357,54533,15747
J,1,Elective,0-17,2024/25,16829,9824,8766
J,1,NonElective,0-17,2024/25,24805,48697,17058
J,1,Other,0-17,2024/25,16981,62679,16514
K,1,Elective,0-17,2024/25,5583,2813,3010
K,1,NonElective,0-17,2024/25,8308,13500,5894
K,1,Other,0-17,2024/25,6610,23277,6431
L,1,Elective,0-17,2024/25,10148,6379,5549
L,1,NonElective,0-17,2024/25,13813,24383,10122
L,1,Other,0-17,2024/25,10567,36909,10145
M,1,Elective,0-17,2024/25,2839,2716,1739
M,1,NonElective,0-17,2024/25,3065,6228,2299
M,1,Other,0-17,2024/25,2281,8812,2200
N,1,Elective,0-17,2024/25,12242,8427,6604
N,1,NonElective,0-17,2024/25,14867,30634,11036
N,1,Other,0-17,2024/25,15717,59795,15181
P,1,Elective,0-17,2024/25,3924,2276,2282
P,1,NonElective,0-17,2024/25,4568,9086,3458
P,1,Other,0-17,2024/25,2612,10244,2504
R,1,Elective,0-17,2024/25,1443,792,805
R,1,NonElective,0-17,2024/25,1532,2423,1183
R,1,Other,0-17,2024/25,1185,3288,1127
S,1,Elective,0-17,2024/25,16136,14836,8155
S,1,NonElective,0-17,2024/25,16192,32929,12161
S,1,Other,0-17,2024/25,8209,26274,7927
A,1,Elective,18-39,2024/25,322966,247567,187805
A,1,NonElective,18-39,2024/25,244471,645051,181632
A,1,Other,18-39,2024/25,2277,81104,2071
