ethnic_group,Sex,Admission_Method,age,Der_Financial_Year,spells,los,patients
B,1,Elective,18-39,2024/25,2076,5373,1176
B,1,NonElective,18-39,2024/25,1584,5309,1108
B,1,Other,18-39,2024/25,25,1481,19
C,1,Elective,18-39,2024/25,32364,25354,18557
C,1,NonElective,18-39,2024/25,25818,80235,19317
C,1,Other,18-39,2024/25,253,5248,226
D,1,Elective,18-39,2024/25,3340,9582,1734
D,1,NonElective,18-39,2024/25,2325,10858,1678
D,1,Other,18-39,2024/25,34,2376,32
E,1,Elective,18-39,2024/25,1497,1354,761
E,1,NonElective,18-39,2024/25,1105,7365,848
E,1,Other,18-39,2024/25,16,586,15
F,1,Elective,18-39,2024/25,2549,3772,1375
F,1,NonElective,18-39,2024/25,1439,6430,1114
F,1,Other,18-39,2024/25,34,1472,27
G,1,Elective,18-39,2024/25,5894,6626,3035
G,1,NonElective,18-39,2024/25,4370,15271,3276
G,1,Other,18-39,2024/25,58,6629,48
H,1,Elective,18-39,2024/25,15342,9408,8262
H,1,NonElective,18-39,2024/25,12178,35504,9371
H,1,Other,18-39,2024/25,115,2603,100
J,1,Elective,18-39,2024/25,19188,16278,8983
J,1,NonElective,18-39,2024/25,14164,45753,10481
J,1,Other,18-39,2024/25,158,3754,139
K,1,Elective,18-39,2024/25,6160,5989,3240
K,1,NonElective,18-39,2024/25,3531,17798,2659
K,1,Other,18-39,2024/25,42,739,32
L,1,Elective,18-39,2024/25,15911,14044,8389
L,1,NonElective,18-39,2024/25,12393,39375,9604
L,1,Other,18-39,2024/25,145,1923,132
M,1,Elective,18-39,2024/25,5409,14464,2436
M,1,NonElective,18-39,2024/25,3634,18954,2586
M,1,Other,18-39,2024/25,49,3499,44
N,1,Elective,18-39,2024/25,15503,29372,5819
N,1,NonElective,18-39,2024/25,10229,50517,7004
N,1,Other,18-39,2024/25,160,8301,147
P,1,Elective,18-39,2024/25,8382,18337,3813
P,1,NonElective,18-39,2024/25,6460,28593,4588
P,1,Other,18-39,2024/25,96,8615,88
R,1,Elective,18-39,2024/25,2344,1209,971
R,1,NonElective,18-39,2024/25,1080,3421,866
R,1,Other,18-39,2024/25,13,60,11
S,1,Elective,18-39,2024/25,22054,13594,12156
S,1,NonElective,18-39,2024/25,18958,69236,14447
S,1,Other,18-39,2024/25,206,5381,184
A,1,Elective,40-64,2024/25,1137616,702085,553011
A,1,NonElective,40-64,2024/25,542894,2582924,364632
A,1,Other,40-64,2024/25,9428,194901,8402
B,1,Elective,40-64,2024/25,10603,6673,4852
B,1,NonElective,40-64,2024/25,4505,33124,2879
B,1,Other,40-64,2024/25,107,2167,86
C,1,Elective,40-64,2024/25,93452,54495,44602
C,1,NonElective,40-64,2024/25,47353,226099,32914
C,1,Other,40-64,2024/25,925,18858,809
D,1,Elective,40-64,2024/25,5107,7799,1768
D,1,NonElective,40-64,2024/25,1892,10211,1272
D,1,Other,40-64,2024/25,36,1988,34
E,1,Elective,40-64,2024/25,3333,5926,1166
E,1,NonElective,40-64,2024/25,1358,5480,981
E,1,Other,40-64,2024/25,22,434,20
F,1,Elective,40-64,2024/25,3152,2017,1683
F,1,NonElective,40-64,2024/25,1430,5806,1044
F,1,Other,40-64,2024/25,42,1634,39
G,1,Elective,40-64,2024/25,10604,9225,4335
G,1,NonElective,40-64,2024/25,4625,21400,3320
G,1,Other,40-64,2024/25,113,2749,105
H,1,Elective,40-64,2024/25,36480,14415,17802
H,1,NonElective,40-64,2024/25,21275,91202,14519
H,1,Other,40-64,2024/25,364,8213,325
J,1,Elective,40-64,2024/25,30307,22142,13831
J,1,NonElective,40-64,2024/25,18123,71143,12558
J,1,Other,40-64,2024/25,310,4111,291
K,1,Elective,40-64,2024/25,12811,12512,6203
K,1,NonElective,40-64,2024/25,5655,26612,4076
K,1,Other,40-64,2024/25,117,2054,108
L,1,Elective,40-64,2024/25,34501,16982,14870
L,1,NonElective,40-64,2024/25,17285,77082,12286
L,1,Other,40-64,2024/25,346,7642,310
M,1,Elective,40-64,2024/25,24566,39579,7759
M,1,NonElective,40-64,2024/25,8797,61980,5749
M,1,Other,40-64,2024/25,181,4446,162
N,1,Elective,40-64,2024/25,42648,33508,12054
N,1,NonElective,40-64,2024/25,14859,85371,9626
N,1,Other,40-64,2024/25,322,16606,271
P,1,Elective,40-64,2024/25,23986,17391,7147
P,1,NonElective,40-64,2024/25,8805,54580,6068
P,1,Other,40-64,2024/25,201,5669,175
R,1,Elective,40-64,2024/25,6741,2619,2709
R,1,NonElective,40-64,2024/25,2004,10446,1487
R,1,Other,40-64,2024/25,36,486,34
S,1,Elective,40-64,2024/25,50407,28540,22959
S,1,NonElective,40-64,2024/25,25572,128697,18406
S,1,Other,40-64,2024/25,552,11923,494
A,1,Elective,65+,2024/25,1958580,924840,854554
A,1,NonElective,65+,2024/25,1096190,8609304,663579
A,1,Other,65+,2024/25,25539,520945,21967
B,1,Elective,65+,2024/25,21791,14224,9413
B,1,NonElective,65+,2024/25,12531,103784,7336
B,1,Other,65+,2024/25,286,5871,266
C,1,Elective,65+,2024/25,74941,43292,30414
C,1,NonElective,65+,2024/25,38673,316491,24301
C,1,Other,65+,2024/25,848,16172,757
D,1,Elective,65+,2024/25,2172,1412,853
D,1,NonElective,65+,2024/25,1242,10205,733
D,1,Other,65+,2024/25,38,978,33
E,1,Elective,65+,2024/25,1292,437,515
E,1,NonElective,65+,2024/25,702,4862,406
E,1,Other,65+,2024/25,11,366,11
F,1,Elective,65+,2024/25,2426,1332,1012
F,1,NonElective,65+,2024/25,1160,9308,720
F,1,Other,65+,2024/25,29,550,25
G,1,Elective,65+,2024/25,5746,2581,2066
G,1,NonElective,65+,2024/25,2453,20024,1569
G,1,Other,65+,2024/25,243,5403,221
H,1,Elective,65+,2024/25,41227,17945,18317
H,1,NonElective,65+,2024/25,23020,162339,14066
H,1,Other,65+,2024/25,511,10132,460
J,1,Elective,65+,2024/25,23107,9140,8487
J,1,NonElective,65+,2024/25,13711,91356,8085
J,1,Other,65+,2024/25,225,3533,204
K,1,Elective,65+,2024/25,6500,2009,2262
K,1,NonElective,65+,2024/25,3597,25462,2131
K,1,Other,65+,2024/25,80,970,72
L,1,Elective,65+,2024/25,24448,10490,8954
L,1,NonElective,65+,2024/25,11754,88530,7237
L,1,Other,65+,2024/25,323,6075,292
M,1,Elective,65+,2024/25,21465,13116,6352
M,1,NonElective,65+,2024/25,10245,99885,6051
M,1,Other,65+,2024/25,189,5520,169
N,1,Elective,65+,2024/25,19274,7862,4777
N,1,NonElective,65+,2024/25,6092,53648,3586
N,1,Other,65+,2024/25,135,3563,123
P,1,Elective,65+,2024/25,9810,5591,2845
P,1,NonElective,65+,2024/25,4052,37358,2500
P,1,Other,65+,2024/25,92,1952,86
R,1,Elective,65+,2024/25,7041,2909,2446
R,1,NonElective,65+,2024/25,2345,19438,1489
R,1,Other,65+,2024/25,63,1291,57
S,1,Elective,65+,2024/25,34739,16758,14244
S,1,NonElective,65+,2024/25,17431,143954,11332
S,1,Other,65+,2024/25,433,7711,371
A,2,Elective,0-17,2024/25,143896,88439,90189
A,2,NonElective,0-17,2024/25,227740,360292,164883
A,2,Other,0-17,2024/25,147640,367221,139709
B,2,Elective,0-17,2024/25,848,1856,405
B,2,NonElective,0-17,2024/25,1047,1918,738
B,2,Other,0-17,2024/25,935,2429,875
C,2,Elective,0-17,2024/25,16883,10742,10045
C,2,NonElective,0-17,2024/25,26357,39608,20018
C,2,Other,0-17,2024/25,27708,67511,26618
D,2,Elective,0-17,2024/25,2788,1761,1678
D,2,NonElective,0-17,2024/25,4152,7648,3078
D,2,Other,0-17,2024/25,3749,9507,3567
E,2,Elective,0-17,2024/25,1683,1166,975
E,2,NonElective,0-17,2024/25,2467,4398,1829
E,2,Other,0-17,2024/25,2543,6765,2465
F,2,Elective,0-17,2024/25,2512,1803,1455
F,2,NonElective,0-17,2024/25,3828,6468,2913
F,2,Other,0-17,2024/25,4555,11832,4339
G,2,Elective,0-17,2024/25,5283,3038,3051
G,2,NonElective,0-17,2024/25,7870,13261,5900
G,2,Other,0-17,2024/25,8477,25103,8178
H,2,Elective,0-17,2024/25,6969,3222,3807
H,2,NonElective,0-17,2024/25,11895,20106,9037
H,2,Other,0-17,2024/25,15404,45307,14885
J,2,Elective,0-17,2024/25,13142,9565,6769
J,2,NonElective,0-17,2024/25,19895,39128,13824
J,2,Other,0-17,2024/25,16123,50610,15698
K,2,Elective,0-17,2024/25,4475,2832,2314
K,2,NonElective,0-17,2024/25,6383,13863,4614
K,2,Other,0-17,2024/25,6371,22777,6201
L,2,Elective,0-17,2024/25,7442,5792,3895
L,2,NonElective,0-17,2024/25,10461,21772,7826
L,2,Other,0-17,2024/25,9940,30686,9576
M,2,Elective,0-17,2024/25,2261,1760,1311
M,2,NonElective,0-17,2024/25,2505,5073,1899
M,2,Other,0-17,2024/25,2263,7524,2173
N,2,Elective,0-17,2024/25,9544,7202,4913
N,2,NonElective,0-17,2024/25,11952,24127,8875
N,2,Other,0-17,2024/25,15195,56484,14647
P,2,Elective,0-17,2024/25,3458,2661,1756
P,2,NonElective,0-17,2024/25,3770,8906,2833
P,2,Other,0-17,2024/25,2526,10334,2425
R,2,Elective,0-17,2024/25,873,525,569
R,2,NonElective,0-17,2024/25,1144,2273,904
R,2,Other,0-17,2024/25,989,2764,946
S,2,Elective,0-17,2024/25,12350,11466,6065
S,2,NonElective,0-17,2024/25,12876,26636,9723
S,2,Other,0-17,2024/25,7852,26441,7549
A,2,Elective,18-39,2024/25,518122,274535,317514
A,2,NonElective,18-39,2024/25,463243,861820,315686
A,2,Other,18-39,2024/25,628572,851120,287331
B,2,Elective,18-39,2024/25,3447,2851,2213
B,2,NonElective,18-39,2024/25,2880,6033,1895
B,2,Other,18-39,2024/25,6496,8895,2899
C,2,Elective,18-39,2024/25,59561,33523,37065
C,2,NonElective,18-39,2024/25,46437,81773,34461
C,2,Other,18-39,2024/25,96478,136629,49061
D,2,Elective,18-39,2024/25,6765,4372,3844
D,2,NonElective,18-39,2024/25,6045,12029,4070
D,2,Other,18-39,2024/25,9560,13121,4120
E,2,Elective,18-39,2024/25,2554,2634,1645
E,2,NonElective,18-39,2024/25,2685,4713,1952
E,2,Other,18-39,2024/25,5027,8271,2486
F,2,Elective,18-39,2024/25,3853,1939,2251
F,2,NonElective,18-39,2024/25,2868,4932,2119
F,2,Other,18-39,2024/25,6453,9246,3061
G,2,Elective,18-39,2024/25,8757,5812,5146
G,2,NonElective,18-39,2024/25,7320,16108,5304
G,2,Other,18-39,2024/25,10964,16278,5288
H,2,Elective,18-39,2024/25,24522,13200,14659
H,2,NonElective,18-39,2024/25,23505,34777,17644
H,2,Other,18-39,2024/25,64954,97552,29938
J,2,Elective,18-39,2024/25,29309,17309,16624
J,2,NonElective,18-39,2024/25,31039,55265,21434
J,2,Other,18-39,2024/25,69078,97730,29718
K,2,Elective,18-39,2024/25,10809,8637,6404
K,2,NonElective,18-39,2024/25,7940,17642,5899
K,2,Other,18-39,2024/25,21148,43078,11597
L,2,Elective,18-39,2024/25,21660,13968,12524
L,2,NonElective,18-39,2024/25,19493,34329,14499
L,2,Other,18-39,2024/25,40871,64001,19622
M,2,Elective,18-39,2024/25,10685,7583,5503
M,2,NonElective,18-39,2024/25,7511,22165,5008
M,2,Other,18-39,2024/25,10335,18539,4743
N,2,Elective,18-39,2024/25,27464,20250,14495
N,2,NonElective,18-39,2024/25,25860,59460,17628
N,2,Other,18-39,2024/25,53498,97666,26486
P,2,Elective,18-39,2024/25,12203,10298,6124
P,2,NonElective,18-39,2024/25,10238,27548,7090
P,2,Other,18-39,2024/25,10848,21594,5428
R,2,Elective,18-39,2024/25,3570,2186,2020
R,2,NonElective,18-39,2024/25,2135,5638,1721
R,2,Other,18-39,2024/25,5587,8876,3078
S,2,Elective,18-39,2024/25,30502,16048,17854
S,2,NonElective,18-39,2024/25,26042,54804,19493
S,2,Other,18-39,2024/25,44959,63220,20957
A,2,Elective,40-64,2024/25,1429863,540273,712037
A,2,NonElective,40-64,2024/25,577335,2277269,392741
A,2,Other,40-64,2024/25,30494,159062,16738
B,2,Elective,40-64,2024/25,12324,5155,5788
B,2,NonElective,40-64,2024/25,4341,18905,2855
B,2,Other,40-64,2024/25,510,1742,247
C,2,Elective,40-64,2024/25,131210,52844,63683
C,2,NonElective,40-64,2024/25,48669,162012,35203
C,2,Other,40-64,2024/25,8446,20708,4302
D,2,Elective,40-64,2024/25,7112,3650,3298
D,2,NonElective,40-64,2024/25,2894,10230,2043
D,2,Other,40-64,2024/25,438,1855,212
E,2,Elective,40-64,2024/25,3885,2059,1909
E,2,NonElective,40-64,2024/25,1892,6127,1345
E,2,Other,40-64,2024/25,321,885,180
F,2,Elective,40-64,2024/25,4871,1838,2501
F,2,NonElective,40-64,2024/25,1839,6234,1351
F,2,Other,40-64,2024/25,391,976,207
G,2,Elective,40-64,2024/25,13443,9102,5966
G,2,NonElective,40-64,2024/25,4975,20693,3551
G,2,Other,40-64,2024/25,853,2416,415
H,2,Elective,40-64,2024/25,49091,17659,23782
H,2,NonElective,40-64,2024/25,20961,63151,15200
H,2,Other,40-64,2024/25,3624,10389,1506
J,2,Elective,40-64,2024/25,42233,15020,20589
J,2,NonElective,40-64,2024/25,24066,65551,16792
J,2,Other,40-64,2024/25,3359,7080,1525
K,2,Elective,40-64,2024/25,15954,5385,7618
K,2,NonElective,40-64,2024/25,6164,20160,4435
K,2,Other,40-64,2024/25,788,2352,470
L,2,Elective,40-64,2024/25,38604,14791,18097
L,2,NonElective,40-64,2024/25,16526,51029,12020
L,2,Other,40-64,2024/25,2833,9125,1367
M,2,Elective,40-64,2024/25,35297,19022,13606
M,2,NonElective,40-64,2024/25,11943,64630,7817
M,2,Other,40-64,2024/25,1101,5516,556
N,2,Elective,40-64,2024/25,54408,26511,19221
N,2,NonElective,40-64,2024/25,21091,90625,13921
N,2,Other,40-64,2024/25,4268,15666,2108
P,2,Elective,40-64,2024/25,23848,12634,9518
P,2,NonElective,40-64,2024/25,9125,44638,6406
P,2,Other,40-64,2024/25,1097,5478,566
R,2,Elective,40-64,2024/25,10161,3983,4829
R,2,NonElective,40-64,2024/25,2806,8927,2110
R,2,Other,40-64,2024/25,786,1763,371
S,2,Elective,40-64,2024/25,55403,23094,26295
S,2,NonElective,40-64,2024/25,22509,82955,16522
S,2,Other,40-64,2024/25,3646,10200,1720
A,2,Elective,65+,2024/25,1804935,893955,870387
A,2,NonElective,65+,2024/25,1166348,9491839,735091
A,2,Other,65+,2024/25,25593,570344,21781
B,2,Elective,65+,2024/25,22283,12443,10695
B,2,NonElective,65+,2024/25,14084,120267,8827
B,2,Other,65+,2024/25,304,6521,278
C,2,Elective,65+,2024/25,74109,42849,33161
C,2,NonElective,65+,2024/25,43629,358923,28414
C,2,Other,65+,2024/25,883,20647,784
D,2,Elective,65+,2024/25,2224,851,1045
D,2,NonElective,65+,2024/25,1269,9838,819
D,2,Other,65+,2024/25,30,1115,30
E,2,Elective,65+,2024/25,1442,613,590
E,2,NonElective,65+,2024/25,723,5677,455
E,2,Other,65+,2024/25,11,571,9
F,2,Elective,65+,2024/25,2276,1346,1047
F,2,NonElective,65+,2024/25,1145,8881,745
F,2,Other,65+,2024/25,28,391,26
G,2,Elective,65+,2024/25,5376,2722,2236
G,2,NonElective,65+,2024/25,2626,24233,1770
G,2,Other,65+,2024/25,315,8276,293
H,2,Elective,65+,2024/25,41596,19220,19357
H,2,NonElective,65+,2024/25,23049,166065,14804
H,2,Other,65+,2024/25,443,8915,405
J,2,Elective,65+,2024/25,20226,8651,8815
J,2,NonElective,65+,2024/25,13523,87257,8507
J,2,Other,65+,2024/25,206,3590,184
K,2,Elective,65+,2024/25,7084,2526,2689
K,2,NonElective,65+,2024/25,3737,27871,2351
K,2,Other,65+,2024/25,55,755,48
L,2,Elective,65+,2024/25,21056,9215,8595
L,2,NonElective,65+,2024/25,10718,77434,6991
L,2,Other,65+,2024/25,208,4904,193
M,2,Elective,65+,2024/25,24289,12503,8641
M,2,NonElective,65+,2024/25,12305,105393,7608
M,2,Other,65+,2024/25,212,4882,194
N,2,Elective,65+,2024/25,18097,8027,5155
N,2,NonElective,65+,2024/25,6124,53145,3831
N,2,Other,65+,2024/25,134,2801,118
P,2,Elective,65+,2024/25,10289,3553,2956
P,2,NonElective,65+,2024/25,4358,36111,2793
P,2,Other,65+,2024/25,83,2249,77
R,2,Elective,65+,2024/25,8017,2456,3144
R,2,NonElective,65+,2024/25,2574,19652,1747
R,2,Other,65+,2024/25,50,1171,42
S,2,Elective,65+,2024/25,30817,15930,14173
S,2,NonElective,65+,2024/25,17374,139591,11858
S,2,Other,65+,2024/25,401,8454,362
