ethnic_group,Sex,Admission_Method,age,Der_Financial_Year,spells,los,patients
E,1,Elective,40-64,2025/26,3243,932,1234
E,1,NonElective,40-64,2025/26,1339,6172,967
E,1,Other,40-64,2025/26,30,483,28
F,1,Elective,40-64,2025/26,3451,2882,1816
F,1,NonElective,40-64,2025/26,1552,6865,1131
F,1,Other,40-64,2025/26,34,567,30
G,1,Elective,40-64,2025/26,10272,6317,4545
G,1,NonElective,40-64,2025/26,4777,24548,3401
G,1,Other,40-64,2025/26,114,2485,103
H,1,Elective,40-64,2025/26,37193,15178,17759
H,1,NonElective,40-64,2025/26,20895,90166,14231
H,1,Other,40-64,2025/26,393,7444,356
J,1,Elective,40-64,2025/26,31280,16354,13971
J,1,NonElective,40-64,2025/26,18190,72196,12701
J,1,Other,40-64,2025/26,348,5342,298
K,1,Elective,40-64,2025/26,13047,5282,6194
K,1,NonElective,40-64,2025/26,6123,30706,4175
K,1,Other,40-64,2025/26,153,2418,129
L,1,Elective,40-64,2025/26,36020,15777,15232
L,1,NonElective,40-64,2025/26,17558,77706,12369
L,1,Other,40-64,2025/26,397,8044,343
M,1,Elective,40-64,2025/26,24252,22879,7608
M,1,NonElective,40-64,2025/26,9259,72718,5932
M,1,Other,40-64,2025/26,183,5379,156
N,1,Elective,40-64,2025/26,45128,32930,12633
N,1,NonElective,40-64,2025/26,15505,85652,10068
N,1,Other,40-64,2025/26,328,13557,270
P,1,Elective,40-64,2025/26,23239,18197,7007
P,1,NonElective,40-64,2025/26,8905,50706,6045
P,1,Other,40-64,2025/26,214,12360,162
R,1,Elective,40-64,2025/26,7413,2222,2813
R,1,NonElective,40-64,2025/26,2004,9974,1499
R,1,Other,40-64,2025/26,55,4823,43
S,1,Elective,40-64,2025/26,50925,28178,23453
S,1,NonElective,40-64,2025/26,25958,125884,18589
S,1,Other,40-64,2025/26,586,10791,506
A,1,Elective,65+,2025/26,1974556,880836,856461
A,1,NonElective,65+,2025/26,1102695,8570419,664756
A,1,Other,65+,2025/26,25694,495718,21799
B,1,Elective,65+,2025/26,21694,11618,9279
B,1,NonElective,65+,2025/26,12573,106214,7284
B,1,Other,65+,2025/26,250,4833,227
C,1,Elective,65+,2025/26,70171,30084,28804
C,1,NonElective,65+,2025/26,37227,293857,23181
C,1,Other,65+,2025/26,866,16504,749
D,1,Elective,65+,2025/26,2374,625,883
D,1,NonElective,65+,2025/26,1179,9840,720
D,1,Other,65+,2025/26,24,550,23
E,1,Elective,65+,2025/26,1190,567,532
E,1,NonElective,65+,2025/26,711,5930,435
E,1,Other,65+,2025/26,11,262,11
F,1,Elective,65+,2025/26,2604,1214,1119
F,1,NonElective,65+,2025/26,1113,8200,749
F,1,Other,65+,2025/26,36,719,32
G,1,Elective,65+,2025/26,6891,2835,2302
G,1,NonElective,65+,2025/26,2659,23814,1702
G,1,Other,65+,2025/26,280,6544,257
H,1,Elective,65+,2025/26,41157,17944,17972
H,1,NonElective,65+,2025/26,23920,166679,14626
H,1,Other,65+,2025/26,547,10131,478
J,1,Elective,65+,2025/26,23416,6711,8590
J,1,NonElective,65+,2025/26,14139,90434,8411
J,1,Other,65+,2025/26,280,3573,245
K,1,Elective,65+,2025/26,6609,2572,2426
K,1,NonElective,65+,2025/26,3829,26141,2233
K,1,Other,65+,2025/26,80,594,66
L,1,Elective,65+,2025/26,24159,11198,9411
L,1,NonElective,65+,2025/26,12433,91038,7687
L,1,Other,65+,2025/26,319,6970,285
M,1,Elective,65+,2025/26,22220,10798,6506
M,1,NonElective,65+,2025/26,10491,97096,6217
M,1,Other,65+,2025/26,209,19646,183
N,1,Elective,65+,2025/26,20627,19316,5289
N,1,NonElective,65+,2025/26,7212,62395,4282
N,1,Other,65+,2025/26,188,5562,160
P,1,Elective,65+,2025/26,9379,3667,2769
P,1,NonElective,65+,2025/26,4176,36343,2554
P,1,Other,65+,2025/26,110,3034,101
R,1,Elective,65+,2025/26,7060,3247,2554
R,1,NonElective,65+,2025/26,2620,21090,1648
R,1,Other,65+,2025/26,53,1026,49
S,1,Elective,65+,2025/26,34653,15043,14539
S,1,NonElective,65+,2025/26,17652,142119,11524
S,1,Other,65+,2025/26,532,10152,458
A,2,Elective,0-17,2025/26,140281,87796,88573
A,2,NonElective,0-17,2025/26,218715,346118,157068
A,2,Other,0-17,2025/26,148231,376906,140394
B,2,Elective,0-17,2025/26,749,1400,418
B,2,NonElective,0-17,2025/26,1065,2215,730
B,2,Other,0-17,2025/26,883,2670,840
C,2,Elective,0-17,2025/26,16368,11251,9708
C,2,NonElective,0-17,2025/26,25145,38647,18972
C,2,Other,0-17,2025/26,26229,64446,25264
D,2,Elective,0-17,2025/26,2831,1999,1687
D,2,NonElective,0-17,2025/26,3958,6153,2969
D,2,Other,0-17,2025/26,3598,10315,3400
E,2,Elective,0-17,2025/26,1876,1650,1057
E,2,NonElective,0-17,2025/26,2541,3829,1876
E,2,Other,0-17,2025/26,2813,7596,2715
F,2,Elective,0-17,2025/26,2617,1886,1599
F,2,NonElective,0-17,2025/26,3820,6969,2857
F,2,Other,0-17,2025/26,4658,10928,4429
G,2,Elective,0-17,2025/26,5148,2679,3126
G,2,NonElective,0-17,2025/26,7640,14999,5776
G,2,Other,0-17,2025/26,8498,22271,8214
H,2,Elective,0-17,2025/26,7241,5686,3785
H,2,NonElective,0-17,2025/26,11881,19729,9135
H,2,Other,0-17,2025/26,15555,47451,15013
J,2,Elective,0-17,2025/26,13846,8758,6569
J,2,NonElective,0-17,2025/26,19460,42978,13584
J,2,Other,0-17,2025/26,16024,49817,15587
K,2,Elective,0-17,2025/26,4107,2068,2301
K,2,NonElective,0-17,2025/26,6517,11612,4690
K,2,Other,0-17,2025/26,6485,21812,6314
L,2,Elective,0-17,2025/26,7381,7361,4169
L,2,NonElective,0-17,2025/26,10544,21240,7906
L,2,Other,0-17,2025/26,10622,32755,10199
M,2,Elective,0-17,2025/26,2301,1633,1335
M,2,NonElective,0-17,2025/26,2454,4664,1761
M,2,Other,0-17,2025/26,2068,7811,1932
N,2,Elective,0-17,2025/26,9844,7476,5109
N,2,NonElective,0-17,2025/26,11966,26876,8912
N,2,Other,0-17,2025/26,16155,58840,15558
P,2,Elective,0-17,2025/26,3424,2119,1714
P,2,NonElective,0-17,2025/26,3502,8087,2673
P,2,Other,0-17,2025/26,2423,9124,2325
R,2,Elective,0-17,2025/26,1039,684,592
R,2,NonElective,0-17,2025/26,1039,2145,791
R,2,Other,0-17,2025/26,901,2510,858
S,2,Elective,0-17,2025/26,12553,9828,6281
S,2,NonElective,0-17,2025/26,12022,26745,9165
S,2,Other,0-17,2025/26,7608,24266,7272
A,2,Elective,18-39,2025/26,531451,228651,327123
A,2,NonElective,18-39,2025/26,456730,885940,306910
A,2,Other,18-39,2025/26,635254,858709,282559
B,2,Elective,18-39,2025/26,3641,1900,2374
B,2,NonElective,18-39,2025/26,2906,6195,1934
B,2,Other,18-39,2025/26,6613,9786,2883
C,2,Elective,18-39,2025/26,58912,29308,36413
C,2,NonElective,18-39,2025/26,44655,78260,32540
C,2,Other,18-39,2025/26,92946,132258,46265
D,2,Elective,18-39,2025/26,7355,4590,4071
D,2,NonElective,18-39,2025/26,6122,14603,4050
D,2,Other,18-39,2025/26,10161,27523,4242
E,2,Elective,18-39,2025/26,2856,2455,1804
E,2,NonElective,18-39,2025/26,3079,5582,2119
E,2,Other,18-39,2025/26,5409,9208,2628
F,2,Elective,18-39,2025/26,4337,2669,2548
F,2,NonElective,18-39,2025/26,3185,7941,2298
F,2,Other,18-39,2025/26,7031,9151,3225
G,2,Elective,18-39,2025/26,9165,5259,5522
G,2,NonElective,18-39,2025/26,7455,18047,5397
G,2,Other,18-39,2025/26,11740,17369,5523
H,2,Elective,18-39,2025/26,25155,14884,15608
H,2,NonElective,18-39,2025/26,23896,34506,17645
H,2,Other,18-39,2025/26,71684,101926,31330
J,2,Elective,18-39,2025/26,32084,16689,17767
J,2,NonElective,18-39,2025/26,31527,54278,21684
J,2,Other,18-39,2025/26,70297,102128,30504
K,2,Elective,18-39,2025/26,11845,7827,7059
K,2,NonElective,18-39,2025/26,8143,17548,5907
K,2,Other,18-39,2025/26,22268,51802,11875
L,2,Elective,18-39,2025/26,23515,13085,13577
L,2,NonElective,18-39,2025/26,20226,34526,14913
L,2,Other,18-39,2025/26,43292,65584,20554
M,2,Elective,18-39,2025/26,11070,6608,5670
M,2,NonElective,18-39,2025/26,7734,21850,5161
M,2,Other,18-39,2025/26,10906,17359,4661
N,2,Elective,18-39,2025/26,30311,22416,16227
N,2,NonElective,18-39,2025/26,27361,63893,18264
N,2,Other,18-39,2025/26,59611,104370,28380
P,2,Elective,18-39,2025/26,11562,6742,6275
P,2,NonElective,18-39,2025/26,10143,27632,6979
P,2,Other,18-39,2025/26,10535,19638,4979
R,2,Elective,18-39,2025/26,3448,2032,2082
R,2,NonElective,18-39,2025/26,2069,5725,1652
R,2,Other,18-39,2025/26,5212,8439,2821
S,2,Elective,18-39,2025/26,32226,14709,18807
S,2,NonElective,18-39,2025/26,26108,51599,19177
S,2,Other,18-39,2025/26,45637,63732,20820
A,2,Elective,40-64,2025/26,1435147,522319,713532
A,2,NonElective,40-64,2025/26,565193,2261397,380244
A,2,Other,40-64,2025/26,31787,152906,17019
B,2,Elective,40-64,2025/26,11925,4957,5830
B,2,NonElective,40-64,2025/26,4527,19736,2915
B,2,Other,40-64,2025/26,581,2169,278
C,2,Elective,40-64,2025/26,134286,44043,65136
C,2,NonElective,40-64,2025/26,50190,161982,35872
C,2,Other,40-64,2025/26,8795,19832,4230
D,2,Elective,40-64,2025/26,7492,3008,3536
D,2,NonElective,40-64,2025/26,3110,13180,2143
D,2,Other,40-64,2025/26,447,1266,212
E,2,Elective,40-64,2025/26,4238,3105,2040
E,2,NonElective,40-64,2025/26,2015,7636,1394
E,2,Other,40-64,2025/26,394,1077,195
F,2,Elective,40-64,2025/26,4980,1609,2621
F,2,NonElective,40-64,2025/26,1907,7248,1336
F,2,Other,40-64,2025/26,476,1098,226
G,2,Elective,40-64,2025/26,13776,4951,6367
G,2,NonElective,40-64,2025/26,5188,21863,3651
G,2,Other,40-64,2025/26,921,2223,443
H,2,Elective,40-64,2025/26,49916,17247,24164
H,2,NonElective,40-64,2025/26,21519,62283,15409
H,2,Other,40-64,2025/26,3998,9382,1698
J,2,Elective,40-64,2025/26,44710,14583,21972
J,2,NonElective,40-64,2025/26,25655,70495,17389
